timestamp,open,high,low,close,volume
2025-10-24 00:00:00+00:00,110115.0625,110256.640625,110034.703125,110226.7890625,0
2025-10-24 00:15:00+00:00,110257.984375,110451.140625,110208.234375,110214.8125,1196544000
2025-10-24 00:30:00+00:00,110219.578125,110508.9140625,110210.265625,110508.9140625,59420672
2025-10-24 00:45:00+00:00,110430.2109375,110694.5859375,110430.2109375,110572.96875,1208250368
2025-10-24 01:00:00+00:00,110563.34375,110683.8984375,110556.90625,110595.640625,709447680
2025-10-24 01:15:00+00:00,110578.390625,110578.390625,110301.671875,110301.671875,709447680
2025-10-24 01:30:00+00:00,110272.3046875,110439.15625,110272.3046875,110439.15625,597680128
2025-10-24 01:45:00+00:00,110442.1171875,110671.875,110442.1171875,110628.7578125,103170048
2025-10-24 02:00:00+00:00,110597.9453125,110617.171875,110472.5625,110488.7890625,74887168
2025-10-24 02:15:00+00:00,110488.3828125,110572.8984375,110392.78125,110474.5703125,676257792
2025-10-24 02:30:00+00:00,110460.96875,110629.8671875,110449.8359375,110629.8671875,76976128
2025-10-24 02:45:00+00:00,110701.359375,110779.78125,110655.125,110714.453125,103526400
2025-10-24 03:00:00+00:00,110667.6953125,110667.6953125,110496.4921875,110516.5,680017920
2025-10-24 03:15:00+00:00,110526.515625,110575.5078125,110503.3125,110515.28125,680017920
2025-10-24 03:30:00+00:00,110474.6875,110528.078125,110358.328125,110528.078125,680017920
2025-10-24 03:45:00+00:00,110468.640625,110488.0,110367.078125,110477.9296875,109211648
2025-10-24 04:00:00+00:00,110489.25,110555.2109375,110406.65625,110555.2109375,109211648
2025-10-24 04:15:00+00:00,110618.421875,110995.703125,110587.1328125,110979.53125,783761408
2025-10-24 04:30:00+00:00,110979.15625,111382.0859375,110979.15625,111172.7421875,1204404224
2025-10-24 04:45:00+00:00,111188.546875,111321.1640625,111188.546875,111240.5234375,89739264
2025-10-24 05:00:00+00:00,111229.3515625,111231.5625,111038.7734375,111134.0390625,903213056
2025-10-24 05:15:00+00:00,111161.2109375,111172.75,111008.4453125,111075.515625,847589376
2025-10-24 05:30:00+00:00,111034.1015625,111289.8671875,111034.1015625,111170.09375,11612160
2025-10-24 05:45:00+00:00,111174.21875,111303.7109375,111174.21875,111293.5859375,929284096
2025-10-24 06:00:00+00:00,111277.9453125,111285.53125,111201.53125,111252.3671875,632967168
2025-10-24 06:15:00+00:00,111253.921875,111342.9140625,111198.8671875,111319.609375,139083776
2025-10-24 06:30:00+00:00,111305.4921875,111491.9296875,111305.4921875,111467.6328125,139083776
2025-10-24 06:45:00+00:00,111459.328125,111496.4921875,111414.6875,111496.4921875,139083776
2025-10-24 07:00:00+00:00,111480.4921875,111480.4921875,111148.71875,111148.71875,679391232
2025-10-24 07:15:00+00:00,111145.4453125,111199.0546875,111145.4453125,111199.03125,679391232
2025-10-24 07:30:00+00:00,111213.65625,111246.015625,111079.390625,111079.390625,583573504
2025-10-24 07:45:00+00:00,110980.3359375,111111.8203125,110839.984375,111111.8203125,721240064
2025-10-24 08:00:00+00:00,111097.8515625,111172.40625,110883.5859375,111172.40625,574988288
2025-10-24 08:15:00+00:00,111134.3828125,111134.3828125,110895.1328125,110895.1328125,574988288
2025-10-24 08:30:00+00:00,110857.078125,111070.0703125,110770.6796875,111070.0703125,826724352
2025-10-24 08:45:00+00:00,111118.6640625,111206.53125,111111.3828125,111116.984375,184827904
